지역구,정류장수,노선수,총승차승객수,총하차승객수,평균승차승객수,평균하차승객수
강남구,499,91,8030483,7569213,128.8,121.4
강동구,373,21,2894675,2840350,98.8,97.0
강북구,413,67,4825181,4671783,133.0,128.8
강서구,566,49,4681083,4652828,88.1,87.6
관악구,466,86,7655819,7792476,154.8,157.5
광진구,270,41,2754535,2759180,117.8,118.0
구로구,486,79,4942197,4730992,119.2,114.1
금천구,345,58,3776658,3581930,123.1,116.8
노원구,515,57,4368306,4296675,88.7,87.2
도봉구,359,46,3304305,3211421,106.9,103.9
동대문구,306,73,5240565,5115379,131.8,128.7
동작구,438,94,5314274,5112276,124.3,119.6
마포구,562,97,5088461,4957596,103.9,101.2
서대문구,457,107,5867404,5801955,109.9,108.6
서초구,600,93,7221330,6977950,126.7,122.4
성동구,435,58,2822524,2772242,96.1,94.4
성북구,603,99,6240697,6232378,123.2,123.0
송파구,416,55,5644221,5605340,114.3,113.5
양천구,319,56,4009783,3852249,97.6,93.7
영등포구,464,100,5738886,5779013,120.4,121.2
용산구,323,67,4189977,4086474,137.9,134.5
은평구,501,71,5201660,5122499,106.4,104.8
종로구,350,106,5469336,5206193,131.9,125.5
중구,178,103,3776675,3598932,121.0,115.3
중랑구,380,48,3792541,3740923,87.4,86.2
