지역구,세대당인구,세대수(세대),총 한국인,한국인 남,한국인 여,총 외국인,외국인 남,외국인 여,총계,총 남자,총 여자,65세이상
강남구,2.27,234612,532577,254866,277711,4761,2230,2531,537338,257096,280242,79575
강동구,2.28,201926,461300,226203,235097,3797,1688,2109,465097,227891,237206,75477
강북구,2.05,144725,297384,144643,152741,3440,1291,2149,300824,145934,154890,64961
강서구,2.1,272572,573046,275422,297624,5380,2375,3005,578426,277797,300629,93924
관악구,1.74,279353,486375,244409,241966,13961,6041,7920,500336,250450,249886,80686
광진구,2.01,169483,340707,164346,176361,12403,5179,7224,353110,169525,183585,52604
구로구,2.18,181916,396017,195002,201015,23967,13025,10942,419984,208027,211957,73864
금천구,1.95,118697,231098,116568,114530,13803,7391,6412,244901,123959,120942,41819
노원구,2.33,219065,510486,245663,264823,3959,1754,2205,514445,247417,267028,89426
도봉구,2.28,138836,316098,153716,162382,2002,724,1278,318100,154440,163660,65122
동대문구,1.99,169695,337982,166823,171159,14610,5495,9115,352592,172318,180274,62963
동작구,2.07,186419,386017,186648,199369,8632,3729,4903,394649,190377,204272,67470
마포구,2.04,180702,368331,173073,195258,10298,3813,6485,378629,176886,201743,55168
서대문구,2.11,145044,305866,145958,159908,11209,3847,7362,317075,149805,167270,55012
서초구,2.41,169895,409823,195806,214017,3854,1859,1995,413677,197665,216012,61404
성동구,2.12,134533,285073,138847,146226,6536,2815,3721,291609,141662,149947,46896
성북구,2.2,197296,433150,208691,224459,9530,3586,5944,442680,212277,230403,75719
송파구,2.32,285106,662607,319407,343200,5654,2556,3098,668261,321963,346298,99854
양천구,2.45,181765,446182,218554,227628,3196,1328,1868,449378,219882,229496,69953
영등포구,2.0,188193,376740,185696,191044,23501,12384,11117,400241,198080,202161,63547
용산구,2.0,111207,222169,106735,115434,14349,7836,6513,236518,114571,121947,39461
은평구,2.19,215178,472259,225640,246619,3754,1532,2222,476013,227172,248841,88418
종로구,1.96,73766,144275,69911,74364,9409,4107,5302,153684,74018,79666,28064
중구,1.92,63767,122173,59448,62725,9277,4421,4856,131450,63869,67581,24742
중랑구,2.07,187693,389043,191835,197208,4557,1788,2769,393600,193623,199977,72851
