지역구,택시운송업 사업체갯수,택시운송업 종사자수,일반한식점 사업체갯수,일반한식점 종사자수,화물운송업 사업체갯수,화물운송업 종사자수,부동산업 사업체갯수,부동산업 종사자수,두발미용업 사업체갯수,두발미용업 종사자수,커피전문점 사업체갯수,커피전문점 종사자수,기타 주점업 사업체갯수,기타 주점업 종사자수,의류업 사업체갯수,의류업 종사자수,학원 사업체갯수,학원 종사자수,한식육류전문 사업체갯수,한식육류전문 종사자수
강남구,1036,1668,2749,9666,1013,1017,3251,7080,1406,5684,1789,6265,825,1819,589,9515,1859,11244,822,4145
강동구,2580,3836,1150,2759,1677,1677,1324,1651,933,1310,686,1787,538,794,110,1317,827,2728,419,1144
강북구,1578,2245,1017,2192,988,988,641,810,680,860,443,1095,542,796,57,104,300,754,333,949
강서구,3679,6180,1430,3801,2827,2853,1548,2454,1072,1657,906,2728,754,1184,118,749,846,2303,594,1812
관악구,2059,2653,1327,3068,1648,1656,1112,1817,898,1441,702,1952,624,1107,75,276,452,1422,425,1315
광진구,1036,1566,1055,2379,1007,1010,976,1326,765,1175,698,1797,612,1123,133,606,461,1480,452,1261
구로구,2398,3095,1102,2676,1551,1566,890,1149,761,1071,529,1531,540,832,140,718,453,1158,399,1060
금천구,1046,2068,941,2254,1010,1045,836,1382,499,646,473,1274,351,454,237,2196,203,523,309,815
노원구,3828,5314,924,2350,1635,1635,789,1022,808,1194,591,1817,334,658,74,118,1080,3435,393,1133
도봉구,2816,5130,670,1539,1635,1636,565,750,610,727,355,906,268,369,36,52,427,1033,320,788
동대문구,1488,1926,1338,2903,1617,1618,921,1159,646,861,613,1539,430,652,334,1090,384,1139,395,1049
동작구,959,1000,798,1875,811,813,947,1246,661,934,533,1412,393,636,19,60,523,1553,309,863
마포구,1091,1697,1519,3925,1252,1303,1318,1863,1023,2027,1614,4442,1053,1975,143,1284,579,1868,647,2168
서대문구,1375,2249,890,2119,1071,1071,758,997,598,1065,470,1460,460,745,47,78,435,1402,312,878
서초구,338,688,1535,5381,1835,1847,1823,2935,692,1738,1086,3576,427,911,220,1349,925,4258,413,1958
성동구,983,2034,975,2268,1213,1222,923,1284,517,830,718,2243,312,547,265,1885,318,1049,372,1244
성북구,1662,2089,992,2146,1379,1385,940,1183,772,1125,597,1594,443,663,163,500,631,1774,363,981
송파구,2508,4193,1729,5022,3334,3352,1997,3206,1196,2088,1189,3521,653,1098,226,3004,1045,4201,641,2334
양천구,2686,4491,859,2147,1830,1848,1022,1337,850,1263,504,1567,398,601,57,114,1500,5914,292,1016
영등포구,1053,1863,1846,5237,2183,2234,1271,1794,737,1238,1000,3334,632,1012,138,1154,375,1202,491,1792
용산구,543,545,883,2327,601,601,929,1234,396,780,694,1976,514,918,94,597,134,412,281,988
은평구,2743,3822,1003,2215,1372,1373,1298,1542,977,1299,579,1422,477,668,50,121,687,1755,439,1221
종로구,187,187,1568,4600,671,671,605,885,266,430,1027,3286,576,1069,509,1038,139,416,405,1546
중구,207,219,1556,5168,683,688,664,1176,333,604,934,2992,396,700,10658,17065,72,275,382,1424
중랑구,2481,4454,1043,2135,2027,2038,813,1057,789,1003,470,1169,504,686,112,298,371,1064,485,1168
