지역구,정류장수,노선수,총승차승객수,총하차승객수,평균승차승객수,평균하차승객수
강남구,499,91,8030483,7569213,128.77,121.37
강동구,373,21,2894675,2840350,98.82,96.96
강북구,413,67,4825181,4671783,133.02,128.79
강서구,566,49,4681083,4652828,88.12,87.59
관악구,466,86,7655819,7792476,154.75,157.52
광진구,270,41,2754535,2759180,117.81,118.01
구로구,486,79,4942197,4730992,119.24,114.14
금천구,345,58,3776658,3581930,123.1,116.75
노원구,515,57,4368306,4296675,88.67,87.22
도봉구,359,46,3304305,3211421,106.86,103.86
동대문구,306,73,5240565,5115379,131.84,128.69
동작구,438,94,5314274,5112276,124.3,119.57
마포구,562,97,5088461,4957596,103.91,101.24
서대문구,457,107,5867404,5801955,109.86,108.64
서초구,600,93,7221330,6977950,126.69,122.42
성동구,435,58,2822524,2772242,96.11,94.4
성북구,603,99,6240697,6232378,123.19,123.03
송파구,416,55,5644221,5605340,114.27,113.48
양천구,319,56,4009783,3852249,97.57,93.74
영등포구,464,100,5738886,5779013,120.39,121.23
용산구,323,67,4189977,4086474,137.89,134.49
은평구,501,71,5201660,5122499,106.4,104.78
종로구,350,106,5469336,5206193,131.88,125.53
중구,178,103,3776675,3598932,121.02,115.32
중랑구,380,48,3792541,3740923,87.4,86.21
