지역구,평균이동시간(분),총이동시간,평균이동인구(명),총이동인구
강남구,23.28,12904380,83.28,46152613
강동구,26.11,9596980,59.84,21996357
강북구,24.28,8765160,36.23,13079024
강서구,25.5,10718780,54.17,22770901
관악구,23.84,10091730,46.54,19700285
광진구,22.78,9761770,43.67,18715186
구로구,23.48,9072360,38.85,15011750
금천구,24.39,7190250,28.68,8452662
노원구,24.5,10256190,51.05,21371822
도봉구,25.1,8053130,35.05,11243990
동대문구,21.99,9998260,37.36,16987578
동작구,22.22,9528980,38.38,16460914
마포구,22.32,10722260,51.09,24539298
서대문구,22.33,9470030,39.87,16908525
서초구,22.96,11489820,59.47,29763431
성동구,21.95,9952210,39.87,18076236
성북구,22.51,10314120,42.61,19524265
송파구,25.61,11978610,77.29,36156898
양천구,23.23,8445360,43.08,15658707
영등포구,21.88,10842320,52.11,25824111
용산구,21.55,9488120,34.64,15247193
은평구,25.07,9222310,46.66,17168619
종로구,21.44,10239340,41.49,19809989
중구,21.17,10285410,41.72,20275545
중랑구,23.85,9102380,38.04,14518504
