SO2,CO,O3,NO2,PM10,PM25,기온,강수량,풍속,습도,증기압,일조시간,일사량,적설량,구름분포량,최저운고,시정,지면온도,5cm지중온도,month,day,hour,PM10_bef24h
0.003,0.4,0.031,0.01,25.0,9.0,-4.1,0.0,2.3,39,1.8,0.0,0.01,0.0,0,14.605263157894736,2000,-4.7,-0.2,1,2,1,25.0
0.003,0.4,0.017,0.022,29.0,12.0,-5.0,0.0,2.7,42,1.8,0.0,0.0085714285714285,0.0,0,14.473684210526317,2000,-5.3,-0.4,1,2,2,27.0
0.002,0.4,0.027,0.014,24.0,13.0,-5.8,0.0,1.9,45,1.8,0.0,0.0071428571428571,0.0,0,14.342105263157896,2000,-5.9,-0.5,1,2,3,23.0
0.003,0.4,0.031,0.01,20.0,8.0,-6.3,0.0,1.7,45,1.7,0.0,0.0057142857142857,0.0,0,14.210526315789474,2000,-6.4,-0.7,1,2,4,24.0
0.002,0.4,0.026,0.014,19.0,7.0,-6.6,0.0,1.1,40,1.5,0.0,0.0042857142857142,0.0,0,14.078947368421051,2000,-6.9,-0.9,1,2,5,26.0
0.003,0.5,0.019,0.022,21.0,8.0,-6.6,0.0,2.7,35,1.3,0.0,0.0028571428571428,0.0,0,13.947368421052632,2000,-7.2,-1.0,1,2,6,27.0
0.003,0.4,0.018,0.023,19.0,9.0,-7.4,0.0,1.5,38,1.3,0.0,0.0014285714285714,0.0,0,13.81578947368421,2000,-7.5,-1.1,1,2,7,30.0
0.003,0.5,0.015,0.026,21.0,8.0,-8.3,0.0,1.3,41,1.3,0.0,0.0,0.0,0,13.68421052631579,2000,-7.8,-1.3,1,2,8,33.0
0.002,0.4,0.024,0.017,18.0,6.0,-7.6,0.0,2.0,39,1.4,0.9,0.3,0.0,0,13.552631578947368,2000,-6.7,-1.4,1,2,9,35.0
0.003,0.4,0.028,0.013,25.0,12.0,-6.0,0.0,2.3,35,1.4,1.0,0.88,0.0,0,13.421052631578949,2000,-3.9,-1.2,1,2,10,44.0
0.003,0.4,0.027,0.015,22.0,12.0,-5.3,0.0,3.2,32,1.3,1.0,1.46,0.0,0,13.289473684210526,2000,-0.7,-0.9,1,2,11,42.0
0.003,0.4,0.03,0.013,25.0,13.0,-3.2,0.0,3.0,33,1.6,1.0,1.81,0.0,0,13.157894736842106,2000,1.2,-0.7,1,2,12,36.0
0.004,0.4,0.033,0.01,29.0,12.0,-2.3,0.0,2.5,31,1.6,1.0,1.95,0.0,0,13.026315789473683,2000,3.6,-0.4,1,2,13,29.0
0.003,0.4,0.036,0.008,43.0,18.0,-1.5,0.0,4.4,31,1.7,1.0,1.87,0.0,0,12.894736842105264,2000,3.5,-0.3,1,2,14,30.0
0.004,0.4,0.035,0.009,44.0,16.0,-2.3,0.0,5.2,33,1.7,1.0,1.57,0.0,0,12.763157894736842,2000,1.6,-0.2,1,2,15,33.0
0.004,0.4,0.032,0.011,48.0,12.0,-1.7,0.0,3.4,34,1.8,1.0,1.05,0.0,0,12.63157894736842,2000,-0.3,-0.1,1,2,16,26.0
0.003,0.4,0.03,0.013,57.0,17.0,-2.3,0.0,4.5,35,1.8,1.0,0.41,0.0,0,12.5,2000,-1.1,-0.1,1,2,17,28.0
0.003,0.5,0.027,0.017,57.0,16.0,-3.2,0.0,2.7,39,1.9,0.1,0.04,0.0,0,12.36842105263158,2000,-2.3,-0.1,1,2,18,27.0
0.002,0.5,0.025,0.016,48.0,15.0,-3.8,0.0,2.8,50,2.3,0.0928571428571428,0.0371428571428571,0.0,0,12.236842105263158,2000,-3.0,-0.2,1,2,19,27.0
0.003,0.4,0.027,0.013,55.0,14.0,-4.2,0.0,2.9,41,1.8,0.0857142857142857,0.0342857142857142,0.0,0,12.105263157894736,2000,-3.8,-0.4,1,2,20,27.0
0.002,0.4,0.028,0.013,62.0,12.0,-5.0,0.0,2.3,39,1.6,0.0785714285714285,0.0314285714285714,0.0,0,11.973684210526317,2000,-4.6,-0.5,1,2,21,26.0
0.003,0.4,0.029,0.01,65.0,14.0,-5.5,0.0,2.8,42,1.7,0.0714285714285714,0.0285714285714285,0.0,0,11.842105263157894,2000,-5.4,-0.7,1,2,22,28.0
0.003,0.4,0.031,0.009,65.0,13.0,-6.1,0.0,1.9,45,1.7,0.0642857142857142,0.0257142857142857,0.0,0,11.710526315789474,2000,-6.0,-0.8,1,2,23,34.0
0.002,0.4,0.029,0.008,66.0,14.0,-6.6,0.0,3.8,45,1.7,0.0571428571428571,0.0228571428571428,0.0,0,11.578947368421051,2000,-6.4,-0.9,1,3,0,32.0
0.003,0.4,0.03,0.008,52.0,12.0,-7.3,0.0,2.4,48,1.7,0.05,0.02,0.0,0,11.447368421052632,2000,-6.9,-1.1,1,3,1,25.0
0.003,0.4,0.025,0.012,48.0,13.0,-7.7,0.0,2.0,50,1.7,0.0428571428571428,0.0171428571428571,0.0,0,11.31578947368421,2000,-7.2,-1.2,1,3,2,29.0
0.003,0.4,0.027,0.01,46.0,13.0,-8.0,0.0,2.2,51,1.7,0.0357142857142857,0.0142857142857142,0.0,0,11.18421052631579,2000,-7.4,-1.3,1,3,3,24.0
0.003,0.4,0.026,0.011,48.0,12.0,-8.3,0.0,1.6,52,1.7,0.0285714285714285,0.0114285714285714,0.0,0,11.052631578947368,2000,-7.7,-1.5,1,3,4,20.0
0.003,0.4,0.025,0.011,49.0,12.0,-8.8,0.0,1.0,53,1.7,0.0214285714285714,0.0085714285714285,0.0,0,10.921052631578949,2000,-8.0,-1.6,1,3,5,19.0
0.003,0.5,0.017,0.019,47.0,14.0,-9.0,0.0,1.3,53,1.6,0.0142857142857142,0.0057142857142857,0.0,0,10.789473684210527,2000,-8.1,-1.7,1,3,6,21.0
0.003,0.5,0.017,0.021,47.0,13.0,-8.7,0.0,1.1,54,1.7,0.0071428571428571,0.0028571428571428,0.0,0,10.657894736842106,2000,-8.3,-1.8,1,3,7,19.0
0.003,0.4,0.018,0.021,44.0,12.0,-8.7,0.0,0.9,58,1.8,0.0,0.0,0.0,0,10.526315789473683,2000,-8.2,-1.9,1,3,8,21.0
0.004,0.4,0.027,0.014,39.0,12.0,-7.6,0.0,1.8,57,2.0,0.8,0.28,0.0,0,10.394736842105264,2000,-6.9,-1.9,1,3,9,18.0
0.003,0.4,0.032,0.009,36.0,12.0,-5.7,0.0,2.6,46,1.8,1.0,0.86,0.0,0,10.263157894736842,2000,-4.1,-1.6,1,3,10,25.0
0.003,0.3,0.035,0.008,22.0,9.0,-4.2,0.0,1.9,39,1.7,1.0,1.45,0.0,0,10.13157894736842,2000,-0.5,-1.3,1,3,11,22.0
0.003,0.4,0.032,0.011,24.0,12.0,-3.1,0.0,2.9,33,1.6,1.0,1.78,0.0,7,10.0,2000,1.6,-0.9,1,3,12,25.0
0.003,0.4,0.033,0.01,26.0,12.0,-2.4,0.0,3.1,30,1.5,0.9,1.62,0.0,7,11.0,2000,1.1,-0.6,1,3,13,29.0
0.003,0.4,0.033,0.01,27.0,11.0,-2.3,0.0,3.6,30,1.6,0.3,1.21,0.0,2,12.0,2000,1.6,-0.3,1,3,14,43.0
0.003,0.4,0.031,0.012,28.0,13.0,-2.4,0.0,3.7,33,1.7,0.2,0.76,0.0,0,12.142857142857142,2000,0.0,-0.2,1,3,15,44.0
0.004,0.5,0.028,0.016,29.0,14.0,-2.3,0.0,2.5,35,1.8,0.0,0.48,0.0,0,12.285714285714286,2000,-0.5,-0.1,1,3,16,48.0
0.004,0.5,0.025,0.018,32.0,17.0,-2.6,0.0,1.9,36,1.8,0.3,0.33,0.0,0,12.428571428571429,2000,-0.8,-0.1,1,3,17,57.0
0.003,0.5,0.021,0.022,38.0,18.0,-3.6,0.0,2.1,40,1.9,0.0,0.03,0.0,0,12.571428571428571,2000,-2.3,-0.1,1,3,18,57.0
0.003,0.5,0.018,0.025,34.0,17.0,-4.4,0.0,1.1,41,1.8,0.0,0.0278571428571428,0.0,0,12.714285714285714,2000,-3.5,-0.3,1,3,19,48.0
